File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF945HJR	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR780BBJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZZZ3-human	DNA						2016-12-05	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF964KTH/, /files/ENCFF821HLM/, /files/ENCFF419RSJ/, /files/ENCFF469MGU/	56074	ENCODE Processing Pipeline	33f82cda31323b371851f3b446a0760f		https://www.encodeproject.org/files/ENCFF945HJR/@@download/ENCFF945HJR.bed.gz				released	s3://encode-public/2016/10/31/a50c367f-c1a3-4ca3-98b4-73184fec8ccc/ENCFF945HJR.bed.gz	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking, borderline replicate concordance		
ENCFF872NFM	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR145TSJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ATF4-human	DNA						2018-01-26	ENCODE			450-650	1	1_1							/files/ENCFF910IKB/, /files/ENCFF102VJO/	6732632	ENCODE Processing Pipeline	c4d1b882f3b78a9750ed95bc919e74c8		https://www.encodeproject.org/files/ENCFF872NFM/@@download/ENCFF872NFM.bed.gz				released	s3://encode-public/2016/10/24/27a72fbc-34d2-47c4-b10a-9417bcdbda2b/ENCFF872NFM.bed.gz	mild to moderate bottlenecking	partially characterized antibody	
ENCFF827GWN	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR145TSJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ATF4-human	DNA						2018-01-26	ENCODE			450-650	2	2_1							/files/ENCFF227IZS/, /files/ENCFF313JTU/	6985590	ENCODE Processing Pipeline	dce69541ea66280103054d87e829963e		https://www.encodeproject.org/files/ENCFF827GWN/@@download/ENCFF827GWN.bed.gz				released	s3://encode-public/2016/10/24/b0bc47cb-d64f-4cea-bb47-bd11a6d26d7a/ENCFF827GWN.bed.gz	mild to moderate bottlenecking	partially characterized antibody	
ENCFF271QTZ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR145TSJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ATF4-human	DNA						2018-01-26	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF227IZS/, /files/ENCFF910IKB/, /files/ENCFF102VJO/, /files/ENCFF313JTU/	7245087	ENCODE Processing Pipeline	a329607dcb29ab32abada97e7b83820c		https://www.encodeproject.org/files/ENCFF271QTZ/@@download/ENCFF271QTZ.bed.gz				released	s3://encode-public/2016/10/24/b92adc17-f198-46b7-bdf9-e70383e31d89/ENCFF271QTZ.bed.gz	mild to moderate bottlenecking	partially characterized antibody	
ENCFF771LVW	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR145TSJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ATF4-human	DNA						2018-01-26	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF827GWN/, /files/ENCFF419RSJ/, /files/ENCFF271QTZ/, /files/ENCFF872NFM/	669929	ENCODE Processing Pipeline	386295fbc82dde319150f304741c8fce		https://www.encodeproject.org/files/ENCFF771LVW/@@download/ENCFF771LVW.bed.gz				released	s3://encode-public/2016/10/24/5e028ac9-076b-4bc7-a2b4-23717ca601d1/ENCFF771LVW.bed.gz	mild to moderate bottlenecking	partially characterized antibody	
ENCFF182MNO	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR145TSJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ATF4-human	DNA						2018-01-26	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF827GWN/, /files/ENCFF419RSJ/, /files/ENCFF271QTZ/, /files/ENCFF872NFM/	753608	ENCODE Processing Pipeline	62346989db6fe72bd2f91d3dc4ab8251		https://www.encodeproject.org/files/ENCFF182MNO/@@download/ENCFF182MNO.bed.gz				released	s3://encode-public/2016/10/24/261450ed-c315-45d0-8a06-2fb4caaf4232/ENCFF182MNO.bed.gz	mild to moderate bottlenecking	partially characterized antibody	
ENCFF506MLA	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR979QYJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										MNT-human	DNA						2017-01-27	ENCODE			450-650	1	1_1							/files/ENCFF358HOW/, /files/ENCFF790TAN/	7007806	ENCODE Processing Pipeline	e7ab81cf77f80f93ab12adba474b1ab4		https://www.encodeproject.org/files/ENCFF506MLA/@@download/ENCFF506MLA.bed.gz				released	s3://encode-public/2016/12/13/da4e7855-d947-4e9f-9c35-2c0ecb5d4bb6/ENCFF506MLA.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF197KEG	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR979QYJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										MNT-human	DNA						2017-01-27	ENCODE			450-650	2	2_1							/files/ENCFF712WXB/, /files/ENCFF036IOO/	7011676	ENCODE Processing Pipeline	25da779ebf1630e3d426a9f118431db1		https://www.encodeproject.org/files/ENCFF197KEG/@@download/ENCFF197KEG.bed.gz				released	s3://encode-public/2016/12/13/a8007fa5-4511-4879-9654-7411cd2c8ede/ENCFF197KEG.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF540KLM	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR979QYJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										MNT-human	DNA						2017-01-27	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF712WXB/, /files/ENCFF358HOW/, /files/ENCFF790TAN/, /files/ENCFF036IOO/	7253030	ENCODE Processing Pipeline	af5fe5f2849bfb651fb4411852ab8619		https://www.encodeproject.org/files/ENCFF540KLM/@@download/ENCFF540KLM.bed.gz				released	s3://encode-public/2016/12/13/b59e919b-0e7e-439a-aa7e-70bfe3b601d0/ENCFF540KLM.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF596TWD	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR979QYJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										MNT-human	DNA						2017-01-27	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF540KLM/, /files/ENCFF506MLA/, /files/ENCFF197KEG/	358929	ENCODE Processing Pipeline	95c6309ea56b3edfdbe5a4f16bedc7aa		https://www.encodeproject.org/files/ENCFF596TWD/@@download/ENCFF596TWD.bed.gz				released	s3://encode-public/2016/12/13/92035a90-7959-440a-a84e-c8a618a3f9a7/ENCFF596TWD.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF454QQD	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR979QYJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										MNT-human	DNA						2017-01-27	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF540KLM/, /files/ENCFF506MLA/, /files/ENCFF197KEG/	409477	ENCODE Processing Pipeline	772a82f2af4913c70907f14868bbe9d7		https://www.encodeproject.org/files/ENCFF454QQD/@@download/ENCFF454QQD.bed.gz				released	s3://encode-public/2016/12/13/31faab67-a6d3-464c-88cb-30ad159cd072/ENCFF454QQD.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF098MNE	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR910JAI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										NCOR1-human	DNA						2016-11-30	ENCODE			450-650	1	1_1							/files/ENCFF712WXB/, /files/ENCFF790TAN/, /files/ENCFF129RYE/	7190812	ENCODE Processing Pipeline	d7935bb743438cfa2f82636a34b7b201		https://www.encodeproject.org/files/ENCFF098MNE/@@download/ENCFF098MNE.bed.gz				released	s3://encode-public/2016/11/17/3f627b3b-4985-4cc2-a14f-3c09b68fb5f5/ENCFF098MNE.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF756UDD	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR910JAI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										NCOR1-human	DNA						2016-11-30	ENCODE			450-650	2	2_1							/files/ENCFF420DGT/, /files/ENCFF712WXB/	6854310	ENCODE Processing Pipeline	d1c6eeddfc90e75e760a0d31d26753f6		https://www.encodeproject.org/files/ENCFF756UDD/@@download/ENCFF756UDD.bed.gz				released	s3://encode-public/2016/11/17/50983b59-bb07-4216-ae41-d9876fec1710/ENCFF756UDD.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF825GRZ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR910JAI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										NCOR1-human	DNA						2016-11-30	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF420DGT/, /files/ENCFF712WXB/, /files/ENCFF790TAN/, /files/ENCFF129RYE/	7271805	ENCODE Processing Pipeline	52bd0192a1c344c4a3afe1e4f450be33		https://www.encodeproject.org/files/ENCFF825GRZ/@@download/ENCFF825GRZ.bed.gz				released	s3://encode-public/2016/11/17/087df5bf-6072-44df-b97e-3ee3db7bfab4/ENCFF825GRZ.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF577EBU	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR910JAI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										NCOR1-human	DNA						2016-11-30	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF756UDD/, /files/ENCFF419RSJ/, /files/ENCFF098MNE/, /files/ENCFF825GRZ/	450611	ENCODE Processing Pipeline	cfbbfda01870acd751cd4025a009b254		https://www.encodeproject.org/files/ENCFF577EBU/@@download/ENCFF577EBU.bed.gz				released	s3://encode-public/2016/11/17/dc903ec7-14ba-4afb-b10f-c0339e3e6102/ENCFF577EBU.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF856HUK	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR910JAI	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										NCOR1-human	DNA						2016-11-30	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF756UDD/, /files/ENCFF419RSJ/, /files/ENCFF098MNE/, /files/ENCFF825GRZ/	479826	ENCODE Processing Pipeline	3fce17d32adedb8d11def5e87ff3d0fe		https://www.encodeproject.org/files/ENCFF856HUK/@@download/ENCFF856HUK.bed.gz				released	s3://encode-public/2016/11/17/9ad39f62-15aa-484e-902a-27b15f96b634/ENCFF856HUK.bed.gz	moderate library complexity, mild to moderate bottlenecking		
ENCFF954TIN	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000AUB	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										SIRT6-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF817FTZ/, /files/ENCFF392XRJ/	3973538	ENCODE Processing Pipeline	b9333bee00335986ba9f8cd1af718159		https://www.encodeproject.org/files/ENCFF954TIN/@@download/ENCFF954TIN.bed.gz				released	s3://encode-public/2017/04/21/e13820a9-9cff-464a-a0cc-328132da309f/ENCFF954TIN.bed.gz	low read depth, moderate library complexity, mild to moderate bottlenecking, low read length, control low read depth, inconsistent platforms		
ENCFF747XDN	bed narrowPeak	bed	narrowPeak	pseudoreplicated IDR thresholded peaks	GRCh38	ENCSR000AUB	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										SIRT6-human	DNA						2012-08-06	ENCODE		see document		1	1_1							/files/ENCFF954TIN/, /files/ENCFF419RSJ/	10741	ENCODE Processing Pipeline	622eb271ee34e8a4a61bb2a5d85e7e61		https://www.encodeproject.org/files/ENCFF747XDN/@@download/ENCFF747XDN.bed.gz				released	s3://encode-public/2017/04/21/8d306387-1aad-4ba4-89ba-245af29d976a/ENCFF747XDN.bed.gz	low read depth, moderate library complexity, mild to moderate bottlenecking, low read length, control low read depth, inconsistent platforms		
ENCFF872ZMD	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR871TKJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										THRAP3-human	DNA						2016-11-17	ENCODE			450-650	1	1_1							/files/ENCFF712WXB/, /files/ENCFF790TAN/, /files/ENCFF446HGS/	7161215	ENCODE Processing Pipeline	0e9e09fc2fe699e1c31bf0dd3a4a2c8e		https://www.encodeproject.org/files/ENCFF872ZMD/@@download/ENCFF872ZMD.bed.gz				released	s3://encode-public/2016/11/02/a6187ef8-a3c3-4ea1-90a2-da7b28f927cb/ENCFF872ZMD.bed.gz	inconsistent platforms, mild to moderate bottlenecking, borderline replicate concordance		
ENCFF012TVZ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR871TKJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										THRAP3-human	DNA						2016-11-17	ENCODE			450-650	2	2_1							/files/ENCFF712WXB/, /files/ENCFF406TJQ/	7200828	ENCODE Processing Pipeline	cbecef0e703aa5497d0e507973135a09		https://www.encodeproject.org/files/ENCFF012TVZ/@@download/ENCFF012TVZ.bed.gz				released	s3://encode-public/2016/11/02/bd1a4e69-2aae-4c06-9e3e-5acbae2eb4be/ENCFF012TVZ.bed.gz	inconsistent platforms, mild to moderate bottlenecking, borderline replicate concordance		
ENCFF407JUL	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR871TKJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										THRAP3-human	DNA						2016-11-17	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF712WXB/, /files/ENCFF406TJQ/, /files/ENCFF790TAN/, /files/ENCFF446HGS/	7248526	ENCODE Processing Pipeline	1b0316c1c1940b47ce742b0b79ad169e		https://www.encodeproject.org/files/ENCFF407JUL/@@download/ENCFF407JUL.bed.gz				released	s3://encode-public/2016/11/02/c19fa05e-3138-437b-9ae9-279057c6ea5d/ENCFF407JUL.bed.gz	inconsistent platforms, mild to moderate bottlenecking, borderline replicate concordance		
ENCFF302XKF	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR871TKJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										THRAP3-human	DNA						2016-11-17	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF872ZMD/, /files/ENCFF012TVZ/, /files/ENCFF407JUL/	50610	ENCODE Processing Pipeline	14be49dfdf070fa86b17f0863c49db08		https://www.encodeproject.org/files/ENCFF302XKF/@@download/ENCFF302XKF.bed.gz				released	s3://encode-public/2016/11/02/9f33e3e3-278a-45bd-8fc8-0f279411c0e3/ENCFF302XKF.bed.gz	inconsistent platforms, mild to moderate bottlenecking, borderline replicate concordance		
ENCFF354UUL	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR871TKJ	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										THRAP3-human	DNA						2016-11-17	ENCODE			450-650	1, 2	1_1, 2_1							/files/ENCFF419RSJ/, /files/ENCFF872ZMD/, /files/ENCFF012TVZ/, /files/ENCFF407JUL/	88032	ENCODE Processing Pipeline	a01682d2085868345e98e93637c59466		https://www.encodeproject.org/files/ENCFF354UUL/@@download/ENCFF354UUL.bed.gz				released	s3://encode-public/2016/11/02/0f87b5ee-1d31-44d4-8f25-a1fc07d3242f/ENCFF354UUL.bed.gz	inconsistent platforms, mild to moderate bottlenecking, borderline replicate concordance		
ENCFF662VQR	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR000DWB	Histone ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										H3K36me3-human	DNA						2011-02-11	ENCODE		see document		1	1_1							/files/ENCFF873PSH/, /files/ENCFF989ORU/	2593462	ENCODE Processing Pipeline	97648359778dff60c316de510f221087		https://www.encodeproject.org/files/ENCFF662VQR/@@download/ENCFF662VQR.bed.gz				released	s3://encode-public/2016/11/13/47295da6-a219-4fab-b245-b36402e0b785/ENCFF662VQR.bed.gz	mild to moderate bottlenecking, low read length	insufficient read depth, control insufficient read depth	
ENCFF929PEE	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR000DWB	Histone ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										H3K36me3-human	DNA						2011-02-11	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF873PSH/, /files/ENCFF975JFV/, /files/ENCFF989ORU/	1516473	ENCODE Processing Pipeline	a24b48a3b13f5e8a124ff2b68f206dba		https://www.encodeproject.org/files/ENCFF929PEE/@@download/ENCFF929PEE.bed.gz				released	s3://encode-public/2016/11/13/1e911fc2-5b90-4071-9688-33ed2b8bdbab/ENCFF929PEE.bed.gz	mild to moderate bottlenecking, low read length	insufficient read depth, control insufficient read depth	
ENCFF873OAY	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR000DWB	Histone ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										H3K36me3-human	DNA						2011-02-11	ENCODE		see document		2	2_1							/files/ENCFF873PSH/, /files/ENCFF975JFV/	2625225	ENCODE Processing Pipeline	208042829c479452dd89d2b05c7d40f0		https://www.encodeproject.org/files/ENCFF873OAY/@@download/ENCFF873OAY.bed.gz				released	s3://encode-public/2016/11/13/07d50acd-0f39-4587-8aff-a8664557f713/ENCFF873OAY.bed.gz	mild to moderate bottlenecking, low read length	insufficient read depth, control insufficient read depth	
ENCFF631VWP	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR000DWB	Histone ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										H3K36me3-human	DNA						2011-02-11	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF662VQR/, /files/ENCFF873OAY/, /files/ENCFF929PEE/	1550285	ENCODE Processing Pipeline	b1b1a74b8a714907d071d9f4730d57c3		https://www.encodeproject.org/files/ENCFF631VWP/@@download/ENCFF631VWP.bed.gz				released	s3://encode-public/2016/11/13/8fe7c6e2-664e-403c-aaf2-b22312c53416/ENCFF631VWP.bed.gz	mild to moderate bottlenecking, low read length	insufficient read depth, control insufficient read depth	
ENCFF358IQM	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR625ZVM	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/PRMT5-human/				PRMT5-human	DNA				formaldehyde		2020-07-16	ENCODE		see document, sonication (generic)		1	1_1							/files/ENCFF332SVJ/, /files/ENCFF165RXE/	6418692	ENCODE Processing Pipeline	490f894700a66fb9c2b59c1b04b4fb35		https://www.encodeproject.org/files/ENCFF358IQM/@@download/ENCFF358IQM.bed.gz				released	s3://encode-public/2018/03/16/fcfb51f9-36a6-4843-a6ac-177e000445d7/ENCFF358IQM.bed.gz	missing genetic modification reagents		
ENCFF352GHH	bed narrowPeak	bed	narrowPeak	pseudoreplicated IDR thresholded peaks	GRCh38	ENCSR625ZVM	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/PRMT5-human/				PRMT5-human	DNA				formaldehyde		2020-07-16	ENCODE		see document, sonication (generic)		1	1_1							/files/ENCFF358IQM/, /files/ENCFF419RSJ/	20766	ENCODE Processing Pipeline	3fde799cd3cc8247e411049a4cd2da4f		https://www.encodeproject.org/files/ENCFF352GHH/@@download/ENCFF352GHH.bed.gz				released	s3://encode-public/2018/03/16/fa25bd1d-621d-4fa4-a0ab-e2ede30e30a2/ENCFF352GHH.bed.gz	missing genetic modification reagents		
ENCFF172SAY	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR625ZVM	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/PRMT5-human/				PRMT5-human	DNA				formaldehyde		2020-07-16	ENCODE		see document, sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF141RKA/, /files/ENCFF878QQX/, /files/ENCFF318XIW/	3259323	ENCODE Processing Pipeline	20d85444ba81df73b44633023c4d9d72		https://www.encodeproject.org/files/ENCFF172SAY/@@download/ENCFF172SAY.bed.gz				released	s3://encode-public/2020/07/16/dd4bb12c-e8d3-4639-9731-a4eee067907e/ENCFF172SAY.bed.gz	missing genetic modification reagents		
ENCFF915YYM	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR625ZVM	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/PRMT5-human/				PRMT5-human	DNA				formaldehyde		2020-07-16	ENCODE		see document, sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF141RKA/, /files/ENCFF356LFX/, /files/ENCFF878QQX/, /files/ENCFF318XIW/	31403	ENCODE Processing Pipeline	254aa43cb95002499afb186a96108830		https://www.encodeproject.org/files/ENCFF915YYM/@@download/ENCFF915YYM.bed.gz				released	s3://encode-public/2020/07/16/debbb150-28c4-44b7-9016-b20747708abb/ENCFF915YYM.bed.gz	missing genetic modification reagents		
ENCFF173RME	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR625ZVM	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/PRMT5-human/				PRMT5-human	DNA				formaldehyde		2020-07-16	ENCODE		see document, sonication (generic)		2	2_1							/files/ENCFF878QQX/, /files/ENCFF318XIW/	1788199	ENCODE Processing Pipeline	6d7fd7f1f71e209ddc1a65a1f57c4518		https://www.encodeproject.org/files/ENCFF173RME/@@download/ENCFF173RME.bed.gz				released	s3://encode-public/2020/07/16/2d5b4077-d5bb-48d5-8c0c-b3041fdf1480/ENCFF173RME.bed.gz	missing genetic modification reagents		
ENCFF213KMK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR625ZVM	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/PRMT5-human/				PRMT5-human	DNA				formaldehyde		2020-07-16	ENCODE		see document, sonication (generic)		2	2_1							/files/ENCFF356LFX/, /files/ENCFF878QQX/, /files/ENCFF318XIW/	17887	ENCODE Processing Pipeline	efc8e768e5d534570c90d7cc16b40a0e		https://www.encodeproject.org/files/ENCFF213KMK/@@download/ENCFF213KMK.bed.gz				released	s3://encode-public/2020/07/16/53f845cb-9fcd-4079-99de-a15aa487eb7e/ENCFF213KMK.bed.gz	missing genetic modification reagents		
ENCFF320KPQ	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR625ZVM	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/PRMT5-human/				PRMT5-human	DNA				formaldehyde		2020-07-16	ENCODE		see document, sonication (generic)		1	1_1							/files/ENCFF141RKA/, /files/ENCFF318XIW/	3123549	ENCODE Processing Pipeline	f16e1f81c393d904e69f0d22df7634eb		https://www.encodeproject.org/files/ENCFF320KPQ/@@download/ENCFF320KPQ.bed.gz				released	s3://encode-public/2020/07/16/f95e7ff0-8a40-42f2-8b4e-110fdeb8b7b0/ENCFF320KPQ.bed.gz	missing genetic modification reagents		
ENCFF164PFY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR625ZVM	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/PRMT5-human/				PRMT5-human	DNA				formaldehyde		2020-07-16	ENCODE		see document, sonication (generic)		1	1_1							/files/ENCFF141RKA/, /files/ENCFF356LFX/, /files/ENCFF318XIW/	18229	ENCODE Processing Pipeline	e04cf45a1e5c9316ff46a83f48e53635		https://www.encodeproject.org/files/ENCFF164PFY/@@download/ENCFF164PFY.bed.gz				released	s3://encode-public/2020/07/16/ecf8f005-478b-42fe-855a-dffa6e4e71df/ENCFF164PFY.bed.gz	missing genetic modification reagents		
ENCFF018TNP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR625ZVM	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/PRMT5-human/				PRMT5-human	DNA				formaldehyde		2020-07-16	ENCODE		see document, sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF141RKA/, /files/ENCFF356LFX/, /files/ENCFF878QQX/, /files/ENCFF318XIW/	40212	ENCODE Processing Pipeline	2651fb3f1977a75c1ee33475a45ffbf0		https://www.encodeproject.org/files/ENCFF018TNP/@@download/ENCFF018TNP.bed.gz				released	s3://encode-public/2020/07/16/df99c779-86fb-4157-9667-f12232ac2a54/ENCFF018TNP.bed.gz	missing genetic modification reagents		
ENCFF819WPK	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR625ZVM	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	insertion	/targets/PRMT5-human/				PRMT5-human	DNA				formaldehyde		2020-07-16	ENCODE		see document, sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF141RKA/, /files/ENCFF878QQX/, /files/ENCFF318XIW/	2715780	ENCODE Processing Pipeline	1738e4969cb24f6409a1f91302fa85b7		https://www.encodeproject.org/files/ENCFF819WPK/@@download/ENCFF819WPK.bed.gz				released	s3://encode-public/2020/07/16/26deb7fa-3a8b-415c-b12d-46eef9b8854f/ENCFF819WPK.bed.gz	missing genetic modification reagents		
ENCFF464LBI	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR143CEO	TF ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens										ZC3H8-human	DNA						2017-06-29	ENCODE			450-650	1	1_1							/files/ENCFF009UWA/, /files/ENCFF910IKB/	6317674	ENCODE Processing Pipeline	9ba9f30072af0f7ee7f79443b800ba0e		https://www.encodeproject.org/files/ENCFF464LBI/@@download/ENCFF464LBI.bed.gz				released	s3://encode-public/2016/10/24/7ed2c68a-8a30-45a8-8a35-655e48d0d316/ENCFF464LBI.bed.gz	low read depth, borderline replicate concordance		
